post_id,inst_id,name,source,post_date,content,engagement,url
P000018,KBE319CF53A,新北市私立福樂幼兒園,新聞：自由時報,2020-02-04,逾8萬兒童口罩 新北、基隆配發私幼 - 自由時報。逾8萬兒童口罩 新北、基隆配發私幼 自由時報,,https://news.google.com/rss/articles/CBMiW0FVX3lxTE0xWkc1M3VPQTBfMmFkSWstTHNINTMwckQwd3RTUlpJRFFUc3VpT0ExMU5fbkJLUWgzbDhrZ2tmUDExVmw1MXFMWk0xb1B0cjd6VnVHbUxCSnl3V2_SAWBBVV95cUxNeHpXUmhISGcxWmtMaG13bVRzbFV2NElVdnFrMndnSnBCcV9MbU1CUEZwMlVLT2lwTjY0MTBrTXhzQUJScUptVHdNU2ZPTFJQRE8yRWZQMEJ1UWFKUC1WUWk?oc=5
P000019,KBE319CF53A,新北市私立福樂幼兒園,新聞：自由時報,2018-05-18,消基會抽查15家私幼退費標準 逾7成不合規定 - 自由時報。消基會抽查15家私幼退費標準 逾7成不合規定 自由時報,,https://news.google.com/rss/articles/CBMiZEFVX3lxTE5DZlJZdkpaMW9ycjF1VDFDTi01UmgwV2RWb3BOV0FEOWVMTnRtOVpTUTF1N3BIdFBtX0tFdFd1anF5T0FUUXRucXRidmh1WnBMSWJEZ2ZHSHJ4bjJnT3RFN2pCSTDSAWpBVV95cUxQaWM0YXhVd2ZwdzgtVXo1dEUxMmR1QXJheVQ1TlNCdzltTm9DS0xIYzZrTVJlRGhGU3ByS1NqTkpiQlpqZEs2MVAtMXVpaGg1aWJETk5HMUdQVW5fNVk3TEpjZy02SjdrUnZR?oc=5
P000020,KBE319CF53A,新北市私立福樂幼兒園,新聞：Yahoo新聞,2024-01-03,台中蒙特梭利幼兒園推薦，學齡前教育首選他 - Yahoo新聞。台中蒙特梭利幼兒園推薦，學齡前教育首選他 Yahoo新聞,,https://news.google.com/rss/articles/CBMiwwJBVV95cUxPTUkxVW8wTER4VTZqVHZ5cFdiNDFFcl9vVEExUjVfemI2SzJPd0ZUNTI4ZU9iN1hQOE9XMnFNaDByQmVoOE15cnFyTkxidVczZEM5WXhfRmxabFdNQW9sNDNBN2gyNURFVVB1bUtHRERtMWhKX0l3WVRNanJoQTI2OXpqMThiRmVYSldIZS1LTWZjYkZfRGZVTkNWelU3NGVrN1QyVmJzc1NjLXI4SmlQRXl4YWxVRGNJZDVkQ0FUR2dmSWJxTkduSWg4UHc5Rm9hdUhoMV9yNXdxUG5RVjJoa01NUktjTF9KX0RRbGMtZl9CV1pzM1pSXzk1SlMtXzJyLTdUTlJreDlHVmpkeEEtUGxmd2JBVlNscGNZWDBfVFZaV2YweDZyalk3d1M0aHZmVFI4bHZ2bFNkVXM5b21xVVpnYw?oc=5
P000021,KA90A923816,新北市私立興南幼兒園,新聞：台灣好新聞,2022-06-13,桃機捷A21站區徵工程及興南幼兒園動工 環北重劃區結合交通優勢造優質生活圈 - 台灣好新聞。桃機捷A21站區徵工程及興南幼兒園動工 環北重劃區結合交通優勢造優質生活圈 台灣好新聞,,https://news.google.com/rss/articles/CBMi4ANBVV95cUxNeG1LLU1CQjU3TmFBa2NqU3ExbE1kSVhvRXIwTkNBQzV6VnVhYW5QNVRUTV9OMFZZOV9weUpxU1VyNjFCVnFFSVp4bjNXcUZDajBySmduMjNSZF9CaDF1NGc0Tko0c0hIOXR6LTdYMnBpbnFGSGxCbkN6V25pR2d1TkVjU3hFT3hLRHNBWEp3MUhWSUF5dTdFX0pPdDY5eGVWdmRzd3MycWhKbFlTTVBZSkk4UnVNZDhPZkJlNkdSOXI2WGdBeDZMWVcwS1Rub0VmUExyNGZYbDBWeVJXc1RaU2w0Q2NXQmRIZnBOVFBMeXczWW5leDJ4WVptZmtrX3JrcGpYSWlfQVptS2tGTS1pQ1h6ekNaYXV6SjJwdVlSblA1T0NqV1ptX2NkSjRmNGxXV2FMRHFFZVpJRkE3ZUEzZkF2UHU0a0RtNk5XbEl3cTBzM1MtZlZ5SkRLQ0dEQkJ4TDF3RUFOZTl2aEhYU1pKdzdLdThKdGRhLVdkRmVBcXNwU1VIb21tLWNyREQzQWlVRUYzcTkyZWN0ajlLdFJzbElsTGFfczRaQnE1dlk4NlhFWG03TU9KclA0STItTmFPc0RxZ3JPN0ZhR2h2SnBNNGVPU1VwbVFCSm9CX3RkcGU?oc=5
P000022,KA90A923816,新北市私立興南幼兒園,新聞：ETtoday新聞雲,2022-06-14,桃園機捷A21站區徵工程及興南幼兒園動工　打造中壢新亮點 - ETtoday新聞雲。桃園機捷A21站區徵工程及興南幼兒園動工 打造中壢新亮點 ETtoday新聞雲,,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBPTDVYQWhRTnB0MWVFd0JLR3c1MFZVdHJqTWNTbWFsemtzdDJ0WjVpR0VZSUw3U2lwUEVGNF9BTndDZE93RVpXYjBteGFqZ3hFZ2tqNldIdnBvRWJ2M3fSAUtBVV95cUxNUUxQeGE4ejlXcnZIMkRndlo5RWh6WkxrNFpyNFlZbFVvVDRQNFR3amJmVHdlaTI5X3RaYTdTLXVjOUZLY3VwQmtqZ2c?oc=5
P000023,KA90A923816,新北市私立興南幼兒園,新聞：好房網News,2022-06-14,機捷A21站環北重劃區打造水岸住宅　區徵工程動工 - 好房網News。機捷A21站環北重劃區打造水岸住宅 區徵工程動工 好房網News,,https://news.google.com/rss/articles/CBMia0FVX3lxTE1mX1cyeE9XRkZBRDlqdExxOWpUeFY0OUJ3dEpJY1B2Yk42ZEtWd0hzTFRuOU1RaTAxVENBUTJ3STE4NTQ0MmMyYmppUVpiOVFiSXFTOFdYTkxNNmlWTUp2UDdwOXJlTHNnMy130gFwQVVfeXFMUEh6bDZjZTg2RTRUOC1adklRY2x0U3lFRWVyeGxVM2h2ckI5c25jZjB5RzN2aDB1VjR6c1RIMFZmZWxKRFBaS0F3LURFS2VXZ3ljR0xwcHNKb1pyVUs0NDJtTnNCSFI0RXVob1kxYmxaQQ?oc=5
P000024,KA90A923816,新北市私立興南幼兒園,新聞：591新聞,2024-05-06,桃園交通機能強化，吸引首購客進場好時機 - 591新聞。桃園交通機能強化，吸引首購客進場好時機 591新聞,,https://news.google.com/rss/articles/CBMiSkFVX3lxTFA1TVlHM2FsSV9RVHYyQWFSN1BRRlBHalNGMWxuYkhWVHp4VGFnT001cTRweUFPbVM4ekY1ckNlTnlYYm1KbDdKUnl30gFPQVVfeXFMTTBRSjVsOWRCOU5ZcXU5TzNVT0FyemRMazREdFBWSmdPZDAyZjBOdW91MUt4RTkwQ2tKaXIwanpJcHJaWE1BVXVXMDR2eUVCdw?oc=5
P000025,KA90A923816,新北市私立興南幼兒園,新聞：UDN,2024-03-01,樸翔初耘中壢329檔期最強成屋案| 綜合 | 要聞 - UDN。樸翔初耘中壢329檔期最強成屋案| 綜合 | 要聞 UDN,,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5POC1zN1NwenUwUDlpMndkM0JNVkoxSlVBM21IdXdhUTNMb184MWt5VXF1LWZ2d1U3YS1JMXJuUWFEY1hFU1pNU2ZUNEZxaVow?oc=5
P000026,KA90A923816,新北市私立興南幼兒園,新聞：風傳媒,2025-02-26,嗅到風向球！建商搶獵地 中壢市中心超值潛力區曝光 | 唐可欣 | 財經 - 風傳媒。嗅到風向球！建商搶獵地 中壢市中心超值潛力區曝光 | 唐可欣 | 財經 風傳媒,,https://news.google.com/rss/articles/CBMiTEFVX3lxTE02TnhVZzZzY3VIWVVMYTNjRXVUSDhfWUEwQ1ZCSjlTODg2c0d3ZHdfdDlGSmVVQUlNSmVWSk9UN2U4dm9vdmJQeUtlR0Y?oc=5
P000027,KA90A923816,新北市私立興南幼兒園,新聞：蕃新聞,2022-06-13,太狠了！64歲男子長期「尿不出來」竟DIY將18公分電線插入尿道 - 蕃新聞。太狠了！64歲男子長期「尿不出來」竟DIY將18公分電線插入尿道 蕃新聞,,https://news.google.com/rss/articles/CBMiUkFVX3lxTE02LXFvelhrdjBCZmV6allTWDFaa0lKOXpubzl0QUY0aE9pREZyZlgyc25fNEREa3RiaTFwM0hYUUF0UFZYY0Z5c1IxRmYwQldtSEE?oc=5
